Dust,,,,,,
X,Y,Z=1,Z=2,Z=3,Z=4,Flux
2.4,40.7,0      ,12.92,0      ,25.84,38.76
2.4,45.5,0      ,12.70666667,0      ,25.41333333,38.12
2.4,50.3,0      ,25.19,0      ,50.38,75.57
2.4,55.1,0      ,10.28,0      ,20.56,30.84
7.1,36,0      ,18.86666667,0      ,37.73333333,56.6
7.1,40.7,0      ,13.72,0      ,27.44,41.16
7.1,45.5,0      ,15.14333333,0      ,30.28666667,45.43
7.1,50.3,0      ,26.64,0      ,53.28,79.92
7.1,55.1,0      ,11.26666667,0      ,22.53333333,33.8
7.1,59.9,0      ,10.60333333,0      ,21.20666667,31.81
7.1,64.7,0      ,10.22,0      ,20.44,30.66
11.9,45.5,0      ,13.76333333,0      ,27.52666667,41.29
11.9,50.3,0      ,14.28,0      ,28.56,42.84
11.9,55.1,0      ,13.13333333,0      ,26.26666667,39.4
11.9,59.9,0      ,12.94333333,0      ,25.88666667,38.83
11.9,64.7,0      ,14.42666667,0      ,28.85333333,43.28
11.9,69.5,0      ,10.07,0      ,20.14,30.21
16.4,50.3,0      ,17.34333333,0      ,34.68666667,52.03
16.4,55.1,0      ,15.64666667,0      ,31.29333333,46.94
16.4,59.9,0      ,12.51333333,0      ,25.02666667,37.54
16.4,64.7,0      ,10.09,0      ,20.18,30.27
16.4,69.5,0      ,9.65,0      ,19.3,28.95
21.2,59.9,0      ,12.08333333,0      ,24.16666667,36.25
21.2,64.7,0      ,10.35333333,0      ,20.70666667,31.06
21.2,69.5,0      ,11.56333333,0      ,23.12666667,34.69
21.2,16.8,0      ,16.18333333,0      ,32.36666667,48.55
26,12,0      ,18.42,0      ,36.84,55.26
30.6,12,0      ,18.97333333,0      ,37.94666667,56.92
35.3,12,0      ,17.02666667,0      ,34.05333333,51.08
39.9,7.2,0      ,16.82333333,0      ,33.64666667,50.47
44.7,7.2,0      ,17.27,0      ,34.54,51.81
49.3,7.2,0      ,16.06333333,0      ,32.12666667,48.19
54,2.4,0      ,12.3,0      ,24.6,36.9
54,7.2,0      ,15.23,0      ,30.46,45.69
58.6,2.4,0      ,14.34,0      ,28.68,43.02
58.6,7.2,0      ,14.12,0      ,28.24,42.36
58.6,12,0      ,16.05666667,0      ,32.11333333,48.17
63.4,7.2,0      ,13.92666667,0      ,27.85333333,41.78
63.4,12,0      ,11.73,0      ,23.46,35.19
68,7.2,0      ,11.29,0      ,22.58,33.87
68,12,0      ,10.49666667,0      ,20.99333333,31.49
72.7,7.2,0      ,12.91666667,0      ,25.83333333,38.75
72.7,12,0      ,14.52,0      ,29.04,43.56
72.7,16.8,0      ,10.63333333,0      ,21.26666667,31.9
72.7,21.6,0      ,12.51666667,0      ,25.03333333,37.55
77.3,16.8,0      ,10.56333333,0      ,21.12666667,31.69
77.3,21.6,0      ,12.54333333,0      ,25.08666667,37.63
77.3,36,0      ,11.28333333,0      ,22.56666667,33.85
77.3,74.2,0      ,12.27333333,0      ,24.54666667,36.82
82.1,16.8,0      ,11.57333333,0      ,23.14666667,34.72
82.1,21.6,0      ,8.926666667,0      ,17.85333333,26.78
82.1,40.7,0      ,12.83333333,0      ,25.66666667,38.5
82.1,45.5,0      ,12.26666667,0      ,24.53333333,36.8
82.1,79,0      ,9.263333333,0      ,18.52666667,27.79
86.7,16.8,0      ,8.976666667,0      ,17.95333333,26.93
86.7,21.6,0      ,9.14,0      ,18.28,27.42
86.7,59.9,0      ,14.07,0      ,28.14,42.21
86.7,69.5,0      ,6.833333333,0      ,13.66666667,20.5
91.4,21.6,0      ,11.16333333,0      ,22.32666667,33.49
91.4,26.4,0      ,12.84666667,0      ,25.69333333,38.54
91.4,31.2,0      ,10.58333333,0      ,21.16666667,31.75
96,31.2,0      ,14.58333333,0      ,29.16666667,43.75
96,36,0      ,20.15,0      ,40.3,60.45
