Filaments,,,,,,
X,Y,Z=1,Z=2,Z=3,Z=4,Flux
11.8,36,1      ,0      ,0      ,0      ,202
16.4,45.5,1      ,0      ,0      ,0      ,185.4
16.4,40.7,1      ,0      ,0      ,0      ,239.7
16.4,36,1      ,0      ,0      ,0      ,368.1
16.4,31.2,1      ,0      ,0      ,0      ,357.6
21.2,45.5,1      ,0      ,0      ,0      ,243.8
21.2,40.7,1      ,0      ,0      ,0      ,374.3
21.2,31.2,1      ,0      ,0      ,0      ,293.3
21.2,26.4,1      ,0      ,0      ,0      ,265.2
26,55.1,1      ,0      ,0      ,0      ,130.4
26,50.3,1      ,0      ,0      ,0      ,222.2
26,45.5,1      ,0      ,0      ,0      ,266.1
26,31.2,1      ,0      ,0      ,0      ,532.6
26,26.4,1      ,0      ,0      ,0      ,651.3
26,21.6,1      ,0      ,0      ,0      ,307.3
26,59.9,1      ,0      ,0      ,0      ,276.8
30.5,21.6,1      ,0      ,0      ,0      ,372.8
30.6,16.8,1      ,0      ,0      ,0      ,111.7
35.3,16.8,1      ,0      ,0      ,0      ,247.1
39.9,16.8,1      ,0      ,0      ,0      ,253.8
44.7,16.8,1      ,0      ,0      ,0      ,195.1
49.3,12,1      ,0      ,0      ,0      ,59.74
49.3,16.8,1      ,0      ,0      ,0      ,80.34
54,12,1      ,0      ,0      ,0      ,64.02
58.6,69.4,1      ,0      ,0      ,0      ,235
58.6,64.6,1      ,0      ,0      ,0      ,190.4
63.4,69.4,1      ,0      ,0      ,0      ,213.6
63.4,64.6,1      ,0      ,0      ,0      ,195.3
63.4,59.9,1      ,0      ,0      ,0      ,276.1
63.4,55.1,1      ,0      ,0      ,0      ,341.3
63.4,50.3,1      ,0      ,0      ,0      ,349.6
67.9,55.1,1      ,0      ,0      ,0      ,234.7
67.9,50.3,1      ,0      ,0      ,0      ,248
67.9,45.5,1      ,0      ,0      ,0      ,226.5
68,31.2,1      ,0      ,0      ,0      ,56.04
68,59.9,1      ,0      ,0      ,0      ,109.7
68,64.7,1      ,0      ,0      ,0      ,70.44
68,69.5,1      ,0      ,0      ,0      ,71.49
72.7,40.7,1      ,0      ,0      ,0      ,180.7
72.7,36,1      ,0      ,0      ,0      ,157.7
72.7,31.2,1      ,0      ,0      ,0      ,119.6
72.7,26.4,1      ,0      ,0      ,0      ,53.49
72.7,45.5,1      ,0      ,0      ,0      ,57.11
72.7,64.7,1      ,0      ,0      ,0      ,69.38
72.7,69.5,1      ,0      ,0      ,0      ,84.53
82.1,69.5,1      ,0      ,0      ,0      ,49.81
82.1,74.2,1      ,0      ,0      ,0      ,40.85
86.7,64.7,1      ,0      ,0      ,0      ,62.36
91.4,59.9,1      ,0      ,0      ,0      ,33.92
